Severity,Start_Lat,Start_Lng
2,34.078926,-118.28903999999999
3,34.091179,-118.239471
3,34.037239,-118.309074
3,34.027458,-118.27448999999999
3,33.947544,-118.27943400000001
3,34.034721000000005,-118.34463500000001
3,33.947437,-118.279312
2,34.069759000000005,-118.236176
2,33.957775,-118.23105600000001
3,33.928162,-118.238976
2,34.078476,-118.2286
3,34.072959999999995,-118.21939099999999
2,34.056087,-118.255882
2,34.076012,-118.231575
3,34.087738,-118.47518899999999
2,34.0509,-118.261429
2,33.92371,-118.269554
3,33.928940000000004,-118.280708
3,33.927593,-118.26521299999999
2,34.036362,-118.167702
3,34.035140999999996,-118.369514
2,34.1292,-118.347298
2,33.949222999999996,-118.291725
2,34.13308,-118.352524
2,34.018738,-118.25493600000001
2,34.033283000000004,-118.181114
2,34.059059000000005,-118.245499
2,34.039894,-118.284172
3,34.039093,-118.43975800000001
2,34.071938,-118.266922
2,34.044228000000004,-118.167046
2,33.988846,-118.353081
2,34.053641999999996,-118.258003
3,34.122634999999995,-118.478424
2,34.062588,-118.248718
3,34.031662,-118.42665900000001
3,34.049640999999994,-118.21417199999999
3,33.975151000000004,-118.383858
3,34.047024,-118.44658700000001
3,34.003772999999995,-118.281029
2,33.960148,-118.244179
3,34.000633,-118.174973
3,34.018448,-118.280075
2,33.930962,-118.293098
2,33.929466,-118.25428000000001
3,34.018963,-118.17865800000001
3,34.037037,-118.37753300000001
3,34.01593,-118.173027
3,34.020927,-118.195328
3,33.960133,-118.28051799999999
2,33.923763,-118.246277
2,33.973929999999996,-118.24987
3,34.034599,-118.437279
3,33.996494,-118.28063200000001
2,34.051617,-118.260567
2,34.14732,-118.227646
3,34.082169,-118.224617
3,34.038456,-118.27401
3,34.077315999999996,-118.469948
3,34.031147,-118.217751
3,34.072959999999995,-118.21939099999999
2,33.934032,-118.300308
2,34.152190999999995,-118.282997
3,34.031078,-118.433388
2,34.128654,-118.34703799999998
3,34.037216,-118.28400400000001
3,34.018448,-118.280075
3,34.14043,-118.277199
3,34.056419,-118.21428700000001
3,34.054207,-118.20320900000002
2,33.946922,-118.295914
2,34.031418,-118.150566
2,34.026897,-118.165443
3,33.989155,-118.28080700000001
